Location,Application,Date,Treatment,Zone,Sample,Pollinator_category,Duration_of_visit,Flower_type,Pollination_event ,Flower_ratio_m_to_f,Total_flowers
Wooster,Pre,2024-07-18,Conventional,4,2,Honey,6.29,Female,0,3:1,NA
Wooster,Pre,2024-07-18,Conventional,4,2,Honey,12.13,Both,1,3:1,NA
Wooster,Pre,2024-07-18,Conventional,4,2,Honey,21.39,Male,0,3:1,NA
Wooster,Pre,2024-07-18,Conventional,4,2,Honey,15.61,Both,1,3:1,NA
Wooster,Pre,2024-07-18,Conventional,4,2,Honey,8.14,Male,0,3:1,NA
Wooster,Pre,2024-07-18,Conventional,4,2,Honey,7.09,Female,0,3:1,NA
Wooster,Pre,2024-07-18,Conventional,4,2,Honey,22.42,Both,0,3:1,NA
Wooster,Pre,2024-07-18,Conventional,4,3,Honey,100,Both,1,4:1,15
Wooster,Pre,2024-07-18,Conventional,4,3,Honey,2,None,0,4:1,15
Wooster,Pre,2024-07-18,Conventional,4,3,Bumble,2,Male,0,4:1,15
Wooster,Pre,2024-07-18,Conventional,4,3,Honey,6,Male,0,4:1,15
Wooster,Pre,2024-07-18,Conventional,4,3,Honey,3,Female,0,4:1,15
Wooster,Pre,2024-07-18,Conventional,4,3,Honey,22,Female,0,4:1,15
Wooster,Pre,2024-07-18,Conventional,1,3,Honey,13,Both,1,11:3,14
Wooster,Pre,2024-07-18,Conventional,1,3,Honey,52,Both,1,11:3,14
Wooster,Pre,2024-07-18,Conventional,1,3,Honey,6,Male,0,11:3,14
Wooster,Pre,2024-07-18,Conventional,1,3,Squash,5,Both,1,11:3,14
Wooster,Pre,2024-07-18,Conventional,1,3,Sweat,3,Male,0,11:3,14
Wooster,Pre,2024-07-18,Conventional,2,3,Honey,20,Male,0,13:4,17
Wooster,Pre,2024-07-18,Conventional,2,3,Honey,8,Both,0,13:4,17
Wooster,Pre,2024-07-18,Conventional,3,3,Honey,30,Both,0,10:3,13
Wooster,Pre,2024-07-18,Conventional,3,3,Honey,6,Male,0,10:3,13
Wooster,Pre,2024-07-18,Conventional,3,3,Honey,2,Male,0,10:3,13
Wooster,Pre,2024-07-18,Conventional,3,3,Honey,2,Male,0,10:3,13
Wooster,Pre,2024-07-18,Conventional,3,3,Bumble,5,Both,0,10:3,13
Wooster,Pre,2024-07-18,Conventional,3,3,Honey,2,Male,0,10:3,13
Wooster,Pre,2024-07-18,Conventional,3,3,Honey,7,Male,0,10:3,13
Wooster,Pre,2024-07-18,Conventional,1,4,Striped Sweat,68,Male,0,34:9,43
Wooster,Pre,2024-07-18,Conventional,1,4,Striped Sweat,72,Both,1,34:9,43
Wooster,Pre,2024-07-18,Conventional,1,4,Striped Sweat,36.98,Both,1,34:9,43
Wooster,Pre,2024-07-18,Conventional,1,4,Bumble,1.99,Both,1,34:9,43
Wooster,Pre,2024-07-18,Conventional,1,4,Bumble,6.16,Female,0,34:9,43
Wooster,Pre,2024-07-18,Conventional,2,4,Squash,11.43,Both,1,3:2,25
Wooster,Pre,2024-07-18,Conventional,2,4,Squash,6.14,Both,1,3:2,25
Wooster,Pre,2024-07-18,Conventional,2,4,Squash,4.01,Both,1,3:2,25
Wooster,Pre,2024-07-18,Conventional,2,4,Squash,5.95,Both,1,3:2,25
Wooster,Pre,2024-07-18,Conventional,2,4,Squash,9.45,Both,1,3:2,25
Wooster,Pre,2024-07-18,Conventional,2,4,Squash,4.7,Male,0,3:2,25
Wooster,Pre,2024-07-18,Conventional,2,4,Striped Sweat,5.48,Male,0,3:2,25
Wooster,Pre,2024-07-18,Conventional,3,4,Striped Sweat,10.54,Male,0,2:1,18
Wooster,Pre,2024-07-18,Conventional,3,4,Honey,2.31,Female,0,2:1,18
Wooster,Pre,2024-07-18,Conventional,4,4,Squash,3.71,Both,1,17:10,27
Wooster,Pre,2024-07-18,Conventional,4,4,Squash,12.04,Both,1,17:10,27
Wooster,Pre,2024-07-18,Conventional,4,4,Squash,4.3,Both,1,17:10,27
Wooster,Pre,2024-07-18,Conventional,4,4,Squash,3.96,Both,1,17:10,27
Wooster,Pre,2024-07-18,Conventional,4,4,Squash,6.62,Both,1,17:10,27
Wooster,Pre,2024-07-18,Conventional,4,4,Squash,1.85,Both,1,17:10,27
Wooster,Pre,2024-07-18,Conventional,4,4,Squash,3.25,Both,1,17:10,27
Wooster,Pre,2024-07-18,Conventional,4,4,Squash,6.27,Both,1,17:10,27
Wooster,Pre,2024-07-18,Conventional,4,4,Bumble,4.89,Both,1,17:10,27
Wooster,Pre,2024-07-18,Conventional,4,4,Bumble,6.32,Male,0,17:10,27
Wooster,Pre,2024-07-18,IPPM,1,1,Squash,4.47,Male,0,5:2,NA
Wooster,Pre,2024-07-18,IPPM,1,1,Squash,12.12,Female,0,5:2,NA
Wooster,Pre,2024-07-18,IPPM,1,1,Honey,26.26,Both,0,5:2,NA
Wooster,Pre,2024-07-18,IPPM,1,1,Striped Sweat,51.25,Female,0,5:2,NA
Wooster,Pre,2024-07-18,IPPM,2,1,Honey,35.46,Male,0,4:1,NA
Wooster,Pre,2024-07-18,IPPM,2,1,Honey,36.03,Both,1,4:1,NA
Wooster,Pre,2024-07-18,IPPM,2,2,Honey,2,Male,0,7:2,18
Wooster,Pre,2024-07-18,IPPM,2,2,Honey,17,Male,0,7:2,18
Wooster,Pre,2024-07-18,IPPM,2,2,Honey,23,Both,1,7:2,18
Wooster,Pre,2024-07-18,IPPM,2,2,Honey,2,Female,0,7:2,18
Wooster,Pre,2024-07-18,IPPM,3,1,Squash,8,Both,1,14:3,17
Wooster,Pre,2024-07-18,IPPM,3,1,Honey,10,Male,0,14:3,17
Wooster,Pre,2024-07-18,IPPM,3,1,Honey,15,Male,0,14:3,17
Wooster,Pre,2024-07-18,IPPM,3,1,Honey,34,Male,0,14:3,17
Wooster,Pre,2024-07-18,IPPM,4,1,Sweat,27,Male,0,5:1,12
Wooster,Pre,2024-07-18,IPPM,4,1,Honey,7,Male,0,5:1,12
Wooster,Pre,2024-07-18,IPPM,1,2,Honey,21,Both,1,11:5,16
Wooster,Pre,2024-07-18,IPPM,1,2,Honey,24,Both,1,11:5,16
Wooster,Pre,2024-07-18,IPPM,1,2,Honey,6,Male,0,11:5,16
Wooster,Pre,2024-07-18,IPPM,1,2,Honey,11,Male,0,11:5,16
Wooster,Pre,2024-07-18,IPPM,2,3,Bumble,6,Male,0,25:4,29
Wooster,Pre,2024-07-18,IPPM,2,3,Bumble,13,Both,1,25:4,29
Wooster,Pre,2024-07-18,IPPM,2,3,Bumble,3,Male,0,25:4,29
Wooster,Pre,2024-07-18,IPPM,2,3,Bumble,2,Male,0,25:4,29
Wooster,Pre,2024-07-18,IPPM,3,2,Honey,21,Both,1,7:1,24
Wooster,Pre,2024-07-18,IPPM,3,2,Honey,64,Male,0,7:1,24
Wooster,Pre,2024-07-18,IPPM,4,2,Striped Sweat,25,Both,1,22:3,25
Wooster,Pre,2024-07-18,IPPM,4,2,Honey,2,Male,0,22:3,25
Wooster,Pre,2024-07-18,IPPM,4,2,Honey,3,Male,0,22:3,25
Wooster,Pre,2024-07-18,IPPM,4,2,Honey,27,Male,0,22:3,25
Wooster,Pre,2024-07-18,IPPM,1,3,Squash,2.25,Both,1,5:6,22
Wooster,Pre,2024-07-18,IPPM,2,4,Squash,2.27,Female,0,21:10,31
Wooster,Pre,2024-07-18,IPPM,2,4,Sweat,5.44,Male,0,21:10,31
Wooster,Pre,2024-07-18,IPPM,2,4,Bumble,3.12,Both,1,21:10,31
Wooster,Pre,2024-07-18,IPPM,2,4,Squash,1,Both,1,21:10,31
Wooster,Pre,2024-07-18,IPPM,3,3,Striped Sweat,1.06,Male,0,17:8,25
Wooster,Pre,2024-07-18,IPPM,4,3,Striped Sweat,9.85,Male,0,12:7,19
Wooster,Pre,2024-07-18,IPPM,4,3,Squash,8.12,Both,1,12:7,19
Wooster,Pre,2024-07-18,IPPM,4,3,Squash,15.7,Both,1,12:7,19
Wooster,Pre,2024-07-18,IPPM,4,3,Squash,4.83,Both,1,12:7,19
Wooster,Pre,2024-07-18,IPPM,3,4,Striped Sweat,58.27,Male,0,5:3,NA
Wooster,Pre,2024-07-18,IPPM,4,4,Honey,28.51,Both,1,4:1,NA
Wooster,Pre,2024-07-18,IPPM,4,4,Honey,12.59,Both,1,4:1,NA
Wooster,Pre,2024-07-18,IPPM,4,4,Squash,25.21,Both,0,4:1,NA
Wooster,Pre,2024-07-18,IPPM,4,4,Honey,50.39,Male,0,4:1,NA
Wooster,Pre,2024-07-18,IPPM,4,4,Honey,11.47,Male,0,4:1,NA
Wooster,Pre,2024-07-18,IPPM,4,4,Bumble,15.27,Both,1,4:1,NA
Wooster,Pre,2024-07-25,Conventional,1,4,Squash,144,Female,0,7:3,10
Wooster,Pre,2024-07-25,Conventional,1,4,Sweat,4,Male,0,7:3,10
Wooster,Pre,2024-07-25,Conventional,1,4,Honey,5,Male,0,7:3,10
Wooster,Pre,2024-07-25,Conventional,1,4,Honey,1,None,0,7:3,10
Wooster,Pre,2024-07-25,Conventional,1,4,Squash,2,Male,0,7:3,10
Wooster,Pre,2024-07-25,Conventional,1,4,Honey,2,Male,0,7:3,10
Wooster,Pre,2024-07-25,Conventional,2,1,Honey,2,Male,0,16:1,17
Wooster,Pre,2024-07-25,Conventional,2,1,Honey,4,Male,0,16:1,17
Wooster,Pre,2024-07-25,Conventional,2,1,Squash,19,Both,1,16:1,17
Wooster,Pre,2024-07-25,Conventional,2,1,Honey,11,Male,0,16:1,17
Wooster,Pre,2024-07-25,Conventional,2,1,Squash,10,Male,0,16:1,17
Wooster,Pre,2024-07-25,Conventional,3,1,Honey,10,Both,0,6:1,14
Wooster,Pre,2024-07-25,Conventional,3,1,Honey,16,Both,0,6:1,14
Wooster,Pre,2024-07-25,Conventional,3,1,Honey,5,Male,0,6:1,14
Wooster,Pre,2024-07-25,Conventional,3,1,Honey,3,Male,0,6:1,14
Wooster,Pre,2024-07-25,Conventional,3,1,Honey,2,Male,0,6:1,14
Wooster,Pre,2024-07-25,Conventional,4,1,Honey,7,Male,0,21:1,22
Wooster,Pre,2024-07-25,Conventional,4,1,Honey,3,None,0,21:1,22
Wooster,Pre,2024-07-25,Conventional,4,1,Squash,8,Both,1,21:1,22
Wooster,Pre,2024-07-25,Conventional,4,1,Honey,2,None,0,21:1,22
Wooster,Pre,2024-07-25,Conventional,4,1,Honey,1,Male,0,21:1,22
Wooster,Pre,2024-07-25,Conventional,4,1,Honey,5,Male,0,21:1,22
Wooster,Pre,2024-07-25,Conventional,4,1,Honey,1,Male,0,21:1,22
Wooster,Pre,2024-07-25,Conventional,4,1,Honey,3,Male,0,21:1,22
Wooster,Pre,2024-07-25,Conventional,1,1,Honey,105,Both,1,5:1,27
Wooster,Pre,2024-07-25,Conventional,1,1,Striped Sweat,23.18,Male,0,5:1,27
Wooster,Pre,2024-07-25,Conventional,1,1,Honey,33.92,Male,0,5:1,27
Wooster,Pre,2024-07-25,Conventional,1,1,Squash,54.93,Both,1,5:1,27
Wooster,Pre,2024-07-25,Conventional,4,2,Honey,14.59,Female,0,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Bumble,16.74,Both,1,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Honey,27.29,Both,1,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Honey,10.71,Male,0,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Honey,18.68,Both,1,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Bumble,8.25,Female,0,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Honey,13.41,Male,0,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Honey,7.77,Male,0,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Honey,11.09,Both,1,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Honey,14.22,Both,1,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Honey,11.28,Both,1,4:1,41
Wooster,Pre,2024-07-25,Conventional,4,2,Squash,15.98,Both,1,4:1,41
Wooster,Pre,2024-07-25,Conventional,3,2,Honey,31.34,Both,1,3:1,39
Wooster,Pre,2024-07-25,Conventional,3,2,Honey,32.32,Both,1,3:1,39
Wooster,Pre,2024-07-25,Conventional,3,2,Honey,6.52,Female,0,3:1,39
Wooster,Pre,2024-07-25,Conventional,3,2,Bumble,7.1,Male,0,3:1,39
Wooster,Pre,2024-07-25,Conventional,3,2,Honey,19.26,Male,0,3:1,39
Wooster,Pre,2024-07-25,Conventional,3,2,Honey,22.75,Both,1,3:1,39
Wooster,Pre,2024-07-25,Conventional,3,2,Honey,8.6,Both,1,3:1,39
Wooster,Pre,2024-07-25,Conventional,2,2,Honey,19.46,Both,1,3:1,43
Wooster,Pre,2024-07-25,Conventional,2,2,Honey,32.13,Both,1,3:1,43
Wooster,Pre,2024-07-25,Conventional,2,2,Longhorn,4.29,Male,0,3:1,43
Wooster,Pre,2024-07-25,Conventional,2,2,Honey,14.52,Male,0,3:1,43
Wooster,Pre,2024-07-25,Conventional,2,2,Honey,22.98,Both,1,3:1,43
Wooster,Pre,2024-07-25,Conventional,2,2,Squash,7.35,Female,0,3:1,43
Wooster,Pre,2024-07-25,Conventional,1,2,Honey,2.12,Male,0,14:5,19
Wooster,Pre,2024-07-25,Conventional,1,2,Honey,0.81,Male,0,14:5,19
Wooster,Pre,2024-07-25,Conventional,1,2,Honey,7.93,Both,1,14:5,19
Wooster,Pre,2024-07-25,Conventional,1,2,Honey,2.34,Both,1,14:5,19
Wooster,Pre,2024-07-25,Conventional,2,3,Squash,5.06,Male,0,11:4,30
Wooster,Pre,2024-07-25,Conventional,2,3,Striped Sweat,18.25,Male,0,11:4,30
Wooster,Pre,2024-07-25,Conventional,2,3,Bumble,2.32,Both,1,11:4,30
Wooster,Pre,2024-07-25,Conventional,2,3,Squash,4.26,Male,0,11:4,30
Wooster,Pre,2024-07-25,Conventional,2,3,Bumble,2.12,Male,0,11:4,30
Wooster,Pre,2024-07-25,Conventional,3,3,Honey,5.89,Male,0,11:5,16
Wooster,Pre,2024-07-25,Conventional,3,3,Honey,0.92,Male,0,11:5,16
Wooster,Pre,2024-07-25,Conventional,3,3,Honey,3.92,Both,1,11:5,16
Wooster,Pre,2024-07-25,Conventional,3,3,Honey,4.06,Female,0,11:5,16
